date,week,weekday,day,work_hours
2023-07-03,27,1,workday,8
2023-07-04,27,2,workday,8
2023-07-05,27,3,workday,8
2023-07-06,27,4,workday,8
2023-07-07,27,5,workday,8
2023-07-08,27,6,day_off,0
2023-07-09,28,7,day_off,0
2023-07-10,28,1,workday,8
2023-07-11,28,2,workday,8
2023-07-12,28,3,workday,8
2023-07-13,28,4,workday,8
2023-07-14,28,5,workday,8
2023-07-15,28,6,day_off,0
2023-07-16,29,7,day_off,0
2023-07-17,29,1,workday,8
2023-07-18,29,2,workday,8
2023-07-19,29,3,workday,8
2023-07-20,29,4,workday,8
2023-07-21,29,5,workday,8
2023-07-22,29,6,day_off,0
2023-07-23,30,7,day_off,0
2023-07-24,30,1,workday,8
2023-07-25,30,2,workday,8
2023-07-26,30,3,workday,8
2023-07-27,30,4,workday,8
2023-07-28,30,5,workday,8
2023-07-29,30,6,day_off,0
2023-07-30,31,7,day_off,0
2023-07-31,31,1,workday,8
2023-08-01,31,2,workday,8
2023-08-02,31,3,workday,8
2023-08-03,31,4,workday,8
2023-08-04,31,5,workday,8
2023-08-05,31,6,day_off,0
2023-08-06,32,7,day_off,0
2023-08-07,32,1,workday,8
2023-08-08,32,2,workday,8
2023-08-09,32,3,workday,8
2023-08-10,32,4,workday,8
2023-08-11,32,5,workday,8
2023-08-12,32,6,day_off,0
2023-08-13,33,7,day_off,0
2023-08-14,33,1,workday,8
2023-08-15,33,2,workday,8
2023-08-16,33,3,workday,8
2023-08-17,33,4,workday,8
2023-08-18,33,5,workday,8
2023-08-19,33,6,day_off,0
2023-08-20,34,7,day_off,0
2023-08-21,34,1,workday,8
2023-08-22,34,2,workday,8
2023-08-23,34,3,workday,8
2023-08-24,34,4,workday,8
2023-08-25,34,5,workday,8
2023-08-26,34,6,day_off,0
2023-08-27,35,7,day_off,0
2023-08-28,35,1,workday,8
2023-08-29,35,2,workday,8
2023-08-30,35,3,workday,8
2023-08-31,35,4,workday,8
2023-09-01,35,5,workday,8
2023-09-02,35,6,day_off,0
2023-09-03,36,7,day_off,0
2023-09-04,36,1,workday,8
2023-09-05,36,2,workday,8
2023-09-06,36,3,workday,8
2023-09-07,36,4,workday,8
2023-09-08,36,5,workday,8
2023-09-09,36,6,day_off,0
2023-09-10,37,7,day_off,0
2023-09-11,37,1,workday,8
2023-09-12,37,2,workday,8
2023-09-13,37,3,workday,8
2023-09-14,37,4,workday,8
2023-09-15,37,5,workday,8
2023-09-16,37,6,day_off,0
2023-09-17,38,7,day_off,0
2023-09-18,38,1,workday,8
2023-09-19,38,2,workday,8
2023-09-20,38,3,workday,8
2023-09-21,38,4,workday,8
2023-09-22,38,5,workday,8
2023-09-23,38,6,day_off,0
2023-09-24,39,7,day_off,0
2023-09-25,39,1,workday,8
2023-09-26,39,2,workday,8
2023-09-27,39,3,workday,8
2023-09-28,39,4,workday,8
2023-09-29,39,5,workday,8
2023-09-30,39,6,day_off,0
2023-10-01,40,7,day_off,0
2023-10-02,40,1,workday,8
2023-10-03,40,2,workday,8
2023-10-04,40,3,workday,8
2023-10-05,40,4,workday,8
2023-10-06,40,5,workday,8
2023-10-07,40,6,day_off,0
2023-10-08,41,7,day_off,0
2023-10-09,41,1,workday,8
2023-10-10,41,2,workday,8
2023-10-11,41,3,workday,8
2023-10-12,41,4,workday,8
2023-10-13,41,5,workday,8
2023-10-14,41,6,day_off,0
2023-10-15,42,7,day_off,0
2023-10-16,42,1,workday,8
2023-10-17,42,2,workday,8
2023-10-18,42,3,workday,8
2023-10-19,42,4,workday,8
2023-10-20,42,5,workday,8
2023-10-21,42,6,day_off,0
2023-10-22,43,7,day_off,0
2023-10-23,43,1,workday,8
2023-10-24,43,2,workday,8
2023-10-25,43,3,workday,8
2023-10-26,43,4,workday,8
2023-10-27,43,5,workday,8
2023-10-28,43,6,day_off,0
2023-10-29,44,7,day_off,0
2023-10-30,44,1,workday,8
2023-10-31,44,2,workday,8
2023-11-01,44,3,workday,8
2023-11-02,44,4,workday,8
2023-11-03,44,5,workday,8
2023-11-04,44,6,day_off,0
2023-11-05,45,7,day_off,0
2023-11-06,45,1,workday,8
2023-11-07,45,2,workday,8
2023-11-08,45,3,workday,8
2023-11-09,45,4,workday,8
2023-11-10,45,5,workday,8
2023-11-11,45,6,day_off,0
2023-11-12,46,7,day_off,0
2023-11-13,46,1,workday,8
2023-11-14,46,2,workday,8
2023-11-15,46,3,workday,8
2023-11-16,46,4,workday,8
2023-11-17,46,5,workday,8
2023-11-18,46,6,day_off,0
2023-11-19,47,7,day_off,0
2023-11-20,47,1,workday,8
2023-11-21,47,2,workday,8
2023-11-22,47,3,workday,8
2023-11-23,47,4,workday,8
2023-11-24,47,5,workday,8
2023-11-25,47,6,day_off,0
2023-11-26,48,7,day_off,0
2023-11-27,48,1,workday,8
2023-11-28,48,2,workday,8
2023-11-29,48,3,workday,8
2023-11-30,48,4,workday,8
2023-12-01,48,5,workday,8
2023-12-02,48,6,day_off,0
2023-12-03,49,7,day_off,0
2023-12-04,49,1,workday,8
2023-12-05,49,2,workday,8
2023-12-06,49,3,workday,8
2023-12-07,49,4,workday,8
2023-12-08,49,5,workday,8
2023-12-09,49,6,day_off,0
2023-12-10,50,7,day_off,0
2023-12-11,50,1,workday,8
2023-12-12,50,2,workday,8
2023-12-13,50,3,workday,8
2023-12-14,50,4,workday,8
2023-12-15,50,5,workday,8
2023-12-16,50,6,day_off,0
2023-12-17,51,7,day_off,0
2023-12-18,51,1,workday,8
2023-12-19,51,2,workday,8
2023-12-20,51,3,workday,8
2023-12-21,51,4,workday,8
2023-12-22,51,5,workday,8
2023-12-23,51,6,day_off,0
2023-12-24,52,7,day_off,0
2023-12-25,52,1,workday,8
2023-12-26,52,2,workday,8
2023-12-27,52,3,workday,8
2023-12-28,52,4,workday,8
2023-12-29,52,5,workday,8
2023-12-30,52,6,day_off,0
2023-12-31,53,7,day_off,0
2024-01-01,1,1,workday,8
2024-01-02,1,2,workday,8
2024-01-03,1,3,workday,8
2024-01-04,1,4,workday,8
2024-01-05,1,5,workday,8
2024-01-06,1,6,day_off,0
2024-01-07,2,7,day_off,0
2024-01-08,2,1,workday,8
2024-01-09,2,2,workday,8
2024-01-10,2,3,workday,8
2024-01-11,2,4,workday,8
2024-01-12,2,5,workday,8
2024-01-13,2,6,day_off,0
2024-01-14,3,7,day_off,0
2024-01-15,3,1,workday,8
2024-01-16,3,2,workday,8
2024-01-17,3,3,workday,8
2024-01-18,3,4,workday,8
2024-01-19,3,5,workday,8
2024-01-20,3,6,day_off,0
2024-01-21,4,7,day_off,0
2024-01-22,4,1,workday,8
2024-01-23,4,2,workday,8
2024-01-24,4,3,workday,8
2024-01-25,4,4,workday,8
2024-01-26,4,5,workday,8
2024-01-27,4,6,day_off,0
2024-01-28,5,7,day_off,0
2024-01-29,5,1,workday,8
2024-01-30,5,2,workday,8
2024-01-31,5,3,workday,8
2024-02-01,5,4,workday,8
2024-02-02,5,5,workday,8
2024-02-03,5,6,day_off,0
2024-02-04,6,7,day_off,0
2024-02-05,6,1,workday,8
2024-02-06,6,2,workday,8
2024-02-07,6,3,workday,8
2024-02-08,6,4,workday,8
2024-02-09,6,5,workday,8
2024-02-10,6,6,day_off,0
2024-02-11,7,7,day_off,0
2024-02-12,7,1,workday,8
2024-02-13,7,2,workday,8
2024-02-14,7,3,workday,8
2024-02-15,7,4,workday,8
2024-02-16,7,5,workday,8
2024-02-17,7,6,day_off,0
2024-02-18,8,7,day_off,0
2024-02-19,8,1,workday,8
2024-02-20,8,2,workday,8
2024-02-21,8,3,workday,8
2024-02-22,8,4,workday,8
2024-02-23,8,5,workday,8
2024-02-24,8,6,day_off,0
2024-02-25,9,7,day_off,0
2024-02-26,9,1,workday,8
2024-02-27,9,2,workday,8
2024-02-28,9,3,workday,8
2024-02-29,9,4,workday,8
2024-03-01,9,5,workday,8
2024-03-02,9,6,day_off,0
2024-03-03,10,7,day_off,0
2024-03-04,10,1,workday,8
2024-03-05,10,2,workday,8
2024-03-06,10,3,workday,8
2024-03-07,10,4,workday,8
2024-03-08,10,5,workday,8
2024-03-09,10,6,day_off,0
2024-03-10,11,7,day_off,0
2024-03-11,11,1,workday,8
2024-03-12,11,2,workday,8
2024-03-13,11,3,workday,8
2024-03-14,11,4,workday,8
2024-03-15,11,5,workday,8
2024-03-16,11,6,day_off,0
2024-03-17,12,7,day_off,0
2024-03-18,12,1,workday,8
2024-03-19,12,2,workday,8
2024-03-20,12,3,workday,8
2024-03-21,12,4,workday,8
2024-03-22,12,5,workday,8
2024-03-23,12,6,day_off,0
2024-03-24,13,7,day_off,0
2024-03-25,13,1,workday,8
2024-03-26,13,2,workday,8
2024-03-27,13,3,workday,8
2024-03-28,13,4,workday,8
2024-03-29,13,5,workday,8
2024-03-30,13,6,day_off,0
2024-03-31,14,7,day_off,0
2024-04-01,14,1,workday,8
2024-04-02,14,2,workday,8
2024-04-03,14,3,workday,8
2024-04-04,14,4,workday,8
2024-04-05,14,5,workday,8
2024-04-06,14,6,day_off,0
2024-04-07,15,7,day_off,0
2024-04-08,15,1,workday,8
2024-04-09,15,2,workday,8
2024-04-10,15,3,workday,8
2024-04-11,15,4,workday,8
2024-04-12,15,5,workday,8
2024-04-13,15,6,day_off,0
2024-04-14,16,7,day_off,0
2024-04-15,16,1,workday,8
2024-04-16,16,2,workday,8
2024-04-17,16,3,workday,8
2024-04-18,16,4,workday,8
2024-04-19,16,5,workday,8
2024-04-20,16,6,day_off,0
2024-04-21,17,7,day_off,0
2024-04-22,17,1,workday,8
2024-04-23,17,2,workday,8
2024-04-24,17,3,workday,8
2024-04-25,17,4,workday,8
2024-04-26,17,5,workday,8
2024-04-27,17,6,day_off,0
2024-04-28,18,7,day_off,0
2024-04-29,18,1,workday,8
2024-04-30,18,2,workday,8
2024-05-01,18,3,workday,8
2024-05-02,18,4,workday,8
2024-05-03,18,5,workday,8
2024-05-04,18,6,day_off,0
2024-05-05,19,7,day_off,0
2024-05-06,19,1,workday,8
2024-05-07,19,2,workday,8
2024-05-08,19,3,workday,8
2024-05-09,19,4,workday,8
2024-05-10,19,5,workday,8
2024-05-11,19,6,day_off,0
2024-05-12,20,7,day_off,0
2024-05-13,20,1,workday,8
2024-05-14,20,2,workday,8
2024-05-15,20,3,workday,8
2024-05-16,20,4,workday,8
2024-05-17,20,5,workday,8
2024-05-18,20,6,day_off,0
2024-05-19,21,7,day_off,0
2024-05-20,21,1,workday,8
2024-05-21,21,2,workday,8
2024-05-22,21,3,workday,8
2024-05-23,21,4,workday,8
2024-05-24,21,5,workday,8
2024-05-25,21,6,day_off,0
2024-05-26,22,7,day_off,0
2024-05-27,22,1,workday,8
2024-05-28,22,2,workday,8
2024-05-29,22,3,workday,8
2024-05-30,22,4,workday,8
2024-05-31,22,5,workday,8
2024-06-01,22,6,day_off,0
2024-06-02,23,7,day_off,0
2024-06-03,23,1,workday,8
2024-06-04,23,2,workday,8
2024-06-05,23,3,workday,8
2024-06-06,23,4,workday,8
2024-06-07,23,5,workday,8
2024-06-08,23,6,day_off,0
2024-06-09,24,7,day_off,0
2024-06-10,24,1,workday,8
2024-06-11,24,2,workday,8
2024-06-12,24,3,workday,8
2024-06-13,24,4,workday,8
2024-06-14,24,5,workday,8
2024-06-15,24,6,day_off,0
2024-06-16,25,7,day_off,0
2024-06-17,25,1,workday,8
2024-06-18,25,2,workday,8
2024-06-19,25,3,workday,8
2024-06-20,25,4,workday,8
2024-06-21,25,5,workday,8
2024-06-22,25,6,day_off,0
2024-06-23,26,7,day_off,0
2024-06-24,26,1,workday,8
2024-06-25,26,2,workday,8
2024-06-26,26,3,workday,8
2024-06-27,26,4,workday,8
2024-06-28,26,5,workday,8
2024-06-29,26,6,day_off,0
2024-06-30,27,7,day_off,0
2024-07-01,27,1,workday,8
2024-07-02,27,2,workday,8
2024-07-03,27,3,workday,8
2024-07-04,27,4,workday,8
2024-07-05,27,5,workday,8
2024-07-06,27,6,day_off,0
2024-07-07,28,7,day_off,0
2024-07-08,28,1,workday,8
2024-07-09,28,2,workday,8
2024-07-10,28,3,workday,8
2024-07-11,28,4,workday,8
2024-07-12,28,5,workday,8
2024-07-13,28,6,day_off,0
2024-07-14,29,7,day_off,0
2024-07-15,29,1,workday,8
2024-07-16,29,2,workday,8
2024-07-17,29,3,workday,8
2024-07-18,29,4,workday,8
2024-07-19,29,5,workday,8
2024-07-20,29,6,day_off,0
2024-07-21,30,7,day_off,0
2024-07-22,30,1,workday,8
2024-07-23,30,2,workday,8
2024-07-24,30,3,workday,8
2024-07-25,30,4,workday,8
2024-07-26,30,5,workday,8
2024-07-27,30,6,day_off,0
2024-07-28,31,7,day_off,0
2024-07-29,31,1,workday,8
2024-07-30,31,2,workday,8
2024-07-31,31,3,workday,8
2024-08-01,31,4,workday,8
2024-08-02,31,5,workday,8
2024-08-03,31,6,day_off,0
2024-08-04,32,7,day_off,0
2024-08-05,32,1,workday,8
2024-08-06,32,2,workday,8
2024-08-07,32,3,workday,8
2024-08-08,32,4,workday,8
2024-08-09,32,5,workday,8
2024-08-10,32,6,day_off,0
2024-08-11,33,7,day_off,0
2024-08-12,33,1,workday,8
2024-08-13,33,2,workday,8
2024-08-14,33,3,workday,8
2024-08-15,33,4,workday,8
2024-08-16,33,5,workday,8
2024-08-17,33,6,day_off,0
2024-08-18,34,7,day_off,0
2024-08-19,34,1,workday,8
2024-08-20,34,2,workday,8
2024-08-21,34,3,workday,8
2024-08-22,34,4,workday,8
2024-08-23,34,5,workday,8
2024-08-24,34,6,day_off,0
2024-08-25,35,7,day_off,0
2024-08-26,35,1,workday,8
2024-08-27,35,2,workday,8
2024-08-28,35,3,workday,8
2024-08-29,35,4,workday,8
2024-08-30,35,5,workday,8
2024-08-31,35,6,day_off,0
2024-09-01,36,7,day_off,0
2024-09-02,36,1,workday,8
2024-09-03,36,2,workday,8
2024-09-04,36,3,workday,8
2024-09-05,36,4,workday,8
2024-09-06,36,5,workday,8
2024-09-07,36,6,day_off,0
2024-09-08,37,7,day_off,0
2024-09-09,37,1,workday,8
2024-09-10,37,2,workday,8
2024-09-11,37,3,workday,8
2024-09-12,37,4,workday,8
2024-09-13,37,5,workday,8
2024-09-14,37,6,day_off,0
2024-09-15,38,7,day_off,0
2024-09-16,38,1,workday,8
2024-09-17,38,2,workday,8
2024-09-18,38,3,workday,8
2024-09-19,38,4,workday,8
2024-09-20,38,5,workday,8
2024-09-21,38,6,day_off,0
2024-09-22,39,7,day_off,0
2024-09-23,39,1,workday,8
2024-09-24,39,2,workday,8
2024-09-25,39,3,workday,8
2024-09-26,39,4,workday,8
2024-09-27,39,5,workday,8
2024-09-28,39,6,day_off,0
2024-09-29,40,7,day_off,0
2024-09-30,40,1,workday,8
2024-10-01,40,2,workday,8
2024-10-02,40,3,workday,8
2024-10-03,40,4,workday,8
2024-10-04,40,5,workday,8
2024-10-05,40,6,day_off,0
2024-10-06,41,7,day_off,0
2024-10-07,41,1,workday,8
2024-10-08,41,2,workday,8
2024-10-09,41,3,workday,8
2024-10-10,41,4,workday,8
2024-10-11,41,5,workday,8
2024-10-12,41,6,day_off,0
2024-10-13,42,7,day_off,0
2024-10-14,42,1,workday,8
2024-10-15,42,2,workday,8
2024-10-16,42,3,workday,8
2024-10-17,42,4,workday,8
2024-10-18,42,5,workday,8
2024-10-19,42,6,day_off,0
2024-10-20,43,7,day_off,0
2024-10-21,43,1,workday,8
2024-10-22,43,2,workday,8
2024-10-23,43,3,workday,8
2024-10-24,43,4,workday,8
2024-10-25,43,5,workday,8
2024-10-26,43,6,day_off,0
2024-10-27,44,7,day_off,0
2024-10-28,44,1,workday,8
2024-10-29,44,2,workday,8
2024-10-30,44,3,workday,8
2024-10-31,44,4,workday,8
2024-11-01,44,5,workday,8
2024-11-02,44,6,day_off,0
2024-11-03,45,7,day_off,0
2024-11-04,45,1,workday,8
2024-11-05,45,2,workday,8
2024-11-06,45,3,workday,8
2024-11-07,45,4,workday,8
2024-11-08,45,5,workday,8
2024-11-09,45,6,day_off,0
2024-11-10,46,7,day_off,0
2024-11-11,46,1,workday,8
2024-11-12,46,2,workday,8
2024-11-13,46,3,workday,8
2024-11-14,46,4,workday,8
2024-11-15,46,5,workday,8
2024-11-16,46,6,day_off,0
2024-11-17,47,7,day_off,0
2024-11-18,47,1,workday,8
2024-11-19,47,2,workday,8
2024-11-20,47,3,workday,8
2024-11-21,47,4,workday,8
2024-11-22,47,5,workday,8
2024-11-23,47,6,day_off,0
2024-11-24,48,7,day_off,0
2024-11-25,48,1,workday,8
2024-11-26,48,2,workday,8
2024-11-27,48,3,workday,8
2024-11-28,48,4,workday,8
2024-11-29,48,5,workday,8
2024-11-30,48,6,day_off,0
2024-12-01,49,7,day_off,0
2024-12-02,49,1,workday,8
2024-12-03,49,2,workday,8
2024-12-04,49,3,workday,8
2024-12-05,49,4,workday,8
2024-12-06,49,5,workday,8
2024-12-07,49,6,day_off,0
2024-12-08,50,7,day_off,0
2024-12-09,50,1,workday,8
2024-12-10,50,2,workday,8
2024-12-11,50,3,workday,8
2024-12-12,50,4,workday,8
2024-12-13,50,5,workday,8
2024-12-14,50,6,day_off,0
2024-12-15,51,7,day_off,0
2024-12-16,51,1,workday,8
2024-12-17,51,2,workday,8
2024-12-18,51,3,workday,8
2024-12-19,51,4,workday,8
2024-12-20,51,5,workday,8
2024-12-21,51,6,day_off,0
2024-12-22,52,7,day_off,0
2024-12-23,52,1,workday,8
2024-12-24,52,2,workday,8
2024-12-25,52,3,workday,8
2024-12-26,52,4,workday,8
2024-12-27,52,5,workday,8
2024-12-28,52,6,day_off,0
2024-12-29,53,7,day_off,0
2024-12-30,53,1,workday,8
2024-12-31,53,2,workday,8